Name,ID
cap de la pleta mala,Q11912125
cap de les pales del planell gran,Q11912133
cap dels vedats d'erta,Q11912156
cogull d'estela,Q11914430
crestes barrades,Q11916047
crestell del montany,Q11916045
dent royo,Q11916902
el pa de sucre,Q11918422
el tossal (peramola),Q11918619
els orriets,Q11919018
eriste s,Q11919565
escrnacrabes,Q11920489
frondella,Q11923133
garmo negro,Q11923802
gran tuc de crabes,Q11924618
infierno occidental,Q11926648
les espurrides,Q11931763
lo peladet,Q11933771
martany,Q11935659
mont falgars,Q11937445
montgr,Q11937456
montigal,Q11937467
montllorer,Q11937474
montlude,Q11937477
montorroio,Q11937485
morro negre,Q11937658
muntanya dels ngels,Q11937949
mussol de tumeneia,Q11938114
pala de morrano,Q11939814
pales de cubieso,Q11939892
pedr de tubau,Q11940746
pic inferior de subenuix,Q11941430
pic fosser,Q11941431
pic gourdon,Q11941432
pic oriental,Q11941438
pic nord de travessani,Q11941437
pic tort,Q11941446
pic d'abellers,Q11941445
pic d'estany roi,Q11941451
pic d'estany gmena,Q11941449
pic de baserca,Q11941455
pic d'obacs,Q11941452
pic de baiau,Q11941453
pic de certascan,Q11941458
pic de comalesbienes,Q11941463
pic de comaminyana,Q11941461
pic de fenerui,Q11941467
pic de dellui,Q11941465
pic de gerri,Q11941470
pic de coronas,Q11941468
pic de mar,Q11941474
pic de morrano,Q11941482
pic de munyidor,Q11941485
pic de nors,Q11941491
pic de qenca,Q11941496
pic de sarrad,Q11941501
pic de sobremonestero,Q11941506
pic de travessani,Q11941511
pic de xemeneies,Q11941515
pico de ventolao,Q11941513
pic de l'estany de contraix,Q11941519
pic de la mainera,Q11941533
pic de la portelleta,Q11941543
pic de la pala gespadera,Q11941541
pic de la tallada llarga,Q11941546
pic del portarr,Q11941554
pic del mig,Q11941553
pic del rac,Q11941559
pica de cerv,Q11941568
pics de comaltes,Q11941579
pics de comalespada,Q11941582
pla de les bruixes,Q11941835
puig roig,Q11943443
puig d'olorda,Q11943503
puig de gallicant,Q11943585
puig de les cadiretes,Q11943721
puig del cam ramader,Q11943754
puigcabrer,Q11943813
puiggracis,Q11943831
punta d'harl,Q11943923
punta d'ssos,Q11943927
punta de lequeutre,Q11943933
montmeneu,Q11943937
punta de las olas,Q11943985
roca llarga,Q11945927
roques punxentes,Q11946223
rca de tolosa,Q11946487
sant als,Q11946893
tossa pelada,Q11952597
tossal esbonllat,Q11952607
tossal esbonllat,Q11952612
tossal de cortiuda,Q11952684
tossal de moradilla,Q11952702
tossalet del pletiu,Q11952909
tres puis,Q11953055
tuc d'ermr,Q11953267
tuc d'rla,Q11953270
pico de contesa,Q11953282
tuc de cuenques,Q11953284
tuc de maubrme,Q11953291
tuc de lhu,Q11953288
tuc de ratera,Q11953299
tuc de ribereta,Q11953302
tuc de roques negres,Q11953303
tuc de samont,Q11953306
puig pen,Q11940847
pen,Q11940847
sokse,Q11236176
saksi,Q11236176
knoda,Q11255800
knda,Q11255800
takuhi yama,Q11567667
takuhiyama,Q11567667
peak 43,Q11873899
kyashar,Q11873899
thangnaktse,Q11873899
cap de vaquira,Q11912105
cap de baqueira,Q11912105
crabioules occidental,Q11915991
western crabioules,Q11915991
torreta de montsi,Q11952584
la torreta,Q11952584
tuc dera salana,Q11953308
tuc de salana,Q11953308
geittinden,Q11971767
gaajssnjurhtjie,Q11971767
tte du portail,Q117310
tete du portail,Q117310
mannlichen,Q117417
mnnlichen,Q117417
ellbognerspitze,Q1114283
ellbogner spitze,Q1114283
el capitan,Q1124852
el cap,Q1124852
pumo ri,Q1137644
pumori,Q1137644
shwa-shin-zan,Q1138090
shwa-shinzan,Q1138090
cret de la neige,Q1142554
crt de la neige,Q1142554
mount alverstone,Q1144559
boundary peak 180,Q1144559
silisili,Q1147814
mount silisili,Q1147814
la grande soufriere,Q1149310
la grande soufrire,Q1149310
carn eighe,Q1149754
crn eige,Q1149754
carn eige,Q1149754
gleichenberger kogeln,Q1150493
gleichenberger kogel,Q1150493
monte cervandone,Q1152462
pizzo cervandone,Q1152462
scherbadung,Q1152462
mount delano,Q1183873
delano peak,Q1183873
pico humboldt,Q1188034
humboldt peak,Q1188034
dent parrache,Q1189850
dent parrachee,Q1189850
mt. st. augustine,Q1193964
augustine volcano,Q1193964
mount augustine,Q1193964
chernabura,Q1193964
godor north top,Q11170618
godor,Q11170618
frdesveten,Q11236036
veten,Q11236036
tuc de sarrahra,Q11953307
tuc de sanla,Q11953304
tuc de vacivr,Q11953311
tuc de sendrosa,Q11953309
tuc de la montanyeta,Q11953314
tuc del coll arens,Q11953318
tuc dera pincla,Q11953323
tuc del bergs,Q11953320
tuc der me,Q11953321
tuc des carants,Q11953327
tuc des costes,Q11953330
tuc des monges,Q11953334
tuc deth cap deth prt de caldes,Q11953337
tuca de betren,Q11953346
tuca de culebres,Q11953344
tuca de llardaneta,Q11953345
tuqueta deth prt de colomrs,Q11953391
tuqueta roya,Q11953392
tur de les armes,Q11953677
ventolada,Q11954454
bergssen,Q11960741
fitjanuten,Q11969048
freikollen,Q11970140
fuglafjellet,Q11970476
geitebotsfjellet,Q11971748
geittinden,Q11971765
hornkjlberget,Q11975837
hgbrenna,Q11976481
kvannfjlli,Q11982611
langsua,Q11983197
myrehogget,Q11990340
napuren,Q11990862
reitetinden,Q11997520
nun kun,Q120285
mount logan,Q120306
hochtor,Q120493
mount macdonald,Q120824
mont noble,Q122494
fansipan,Q123782
adamsons peak,Q124928
schareck,Q125939
hinter grauspitz,Q125968
mount erciyes,Q126804
wstegarten,Q127627
mount san antonio,Q128657
abajo peak,Q129698
deseret peak,Q1200569
mount mazama,Q1201788
dhaulagiri ii,Q1207614
schtzenberg,Q1221536
lata mountain,Q1226878
diran,Q1227385
kleiner pyhrgas,Q1229273
hochmaderer,Q1229699
laila peak,Q1230514
monte rite,Q1231982
pelebaga kampung aleak dan inanekelok,Q1232288
pizzo di gino,Q1232330
mount kyllini,Q1232572
trisul,Q1233570
ofterschwanger horn,Q1235054
dolmar,Q1235830
hochknzelspitze,Q1236173
poco likang,Q1236222
dolohmwar,Q1236265
groer eisenberg,Q1236712
jannu,Q1237414
humphreys peak,Q1239004
pen-y-ghent,Q1241723
donnerstein,Q1241937
mont donon,Q1242068
mount woolley,Q1242227
wagenberg,Q1242495
regenboldshorn,Q1244272
mount orville,Q1244469
mohnenfluh,Q1254635
wildberg,Q1257046
kleiner knollen,Q1257384
dreifingerspitze,Q1257789
dreimarkstein,Q1257989
dreispitz,Q1258129
pfannenstock,Q1258161
vorderer tajakopf,Q1258587
third schafalpenkopf,Q1259247
jebel shams,Q1261915
jabal an nabi shu'ayb,Q1261935
sassongher,Q1263458
morsberg,Q1264396
gedrechter,Q1264470
mount dulang-dulang,Q1264707
dumyat,Q1265168
