Name,ID
british columbia,Q1974
bc,Q1974
prince edward island,Q1979
pei,Q1979
nfld,Q2003
nl,Q2003
newfoundland and labrador,Q2003
newfoundland,Q2003
northwest territories,Q2007
nwt,Q2007
yt,Q2009
yukon,Q2009
on,Q1904
ontario,Q1904
ont,Q1904
ab,Q1951
alberta,Q1951
mb,Q1948
manitoba,Q1948
ns,Q1952
nova scotia,Q1952
new brunswick,Q1965
nb,Q1965
quebec,Q176
qc,Q176
saskatchewan,Q1989
nunavut,Q2023
