Name,ID
kemijoki basin,Q49990054
ntm river basin,Q49990526
paatsjoki basin,Q49990602
perhonjoki basin,Q49990822
simojoki basin,Q49991205
batiscanie,Q50419786
guadalupe river basin,Q52555092
blue eye; theth,Q56124244
central desert basin,Q56358674
hamun-e jaz murian catchment area,Q56358817
vehkajoki basin,Q56400734
koskenkylnjoki basin,Q56400746
uskelanjoki basin,Q56400766
kalajoki basin,Q56400804
pyhjoki basin,Q56400805
siikajoki basin,Q56400815
kuivajoki basin,Q56400823
enningdalslven basin,Q58528329
fustavassdraget,Q58798300
maipo basin,Q60666778
biobio basin,Q61743853
aconcagua basin,Q61743873
imperial basin,Q61744006
maule basin,Q61744057
bueno basin,Q61744144
lluta basin,Q61744172
camarones basin,Q61744203
copiapo basin,Q64024152
baker basin,Q64348270
neretva basin,Q64949389
yelcho basin,Q65016559
rapel basin,Q65159779
itata basin,Q65160393
huasco basin,Q65561091
mataquito basin,Q65640390
loa basin,Q65769005
serrano basin,Q65949791
elqui basin,Q66299748
choapa basin,Q66370977
tolten basin,Q66439778
valdivia basin,Q66556162
cuanza basin,Q66838979
paicavi basin,Q67019539
la ligua basin,Q67123653
cisnes basin,Q67196958
salar de atacama basin,Q72570989
palena basin,Q73512565
pascua basin,Q74846422
narcea river,Q14520
euphrates,Q34589
bay of bengal,Q38684
salar del huasco,Q20022191
salar del guasco,Q20022191
quebrada camia,Q23651365
tana,Q23651365
chalachigu valley,Q30590891
karachukur valley,Q30590891
tenojoki basin,Q49992085
teno basin,Q49992085
tana basin,Q49992085
tornionjoki basin,Q49992599
torne river basin,Q49992599
vantaanjoki basin,Q49993114
vantaa river basin,Q49993114
aura river basin,Q56398953
aurajoki basin,Q56398953
kem river basin,Q56400828
kem basin,Q56400828
pacific rim,Q9301187
pacific ocean basin,Q9301187
kymijoki basin,Q11873978
kymi river basin,Q11873978
kymi basin,Q11873978
vuoksi river basin,Q11901970
vuoksa river basin,Q11901970
vuoksa basin,Q11901970
vuoksi basin,Q11901970
siljanvassdraget,Q11968530
farrisvassdraget,Q11968530
wester siberian artesian basin,Q12106184
west siberia artesian basin,Q12106184
columbia river watershed,Q2887539
columbia river basin,Q2887539
columbia river drainage basin,Q2887539
columbia basin,Q2887539
mississippi river basin,Q2887546
mississippi basin,Q2887546
mississippi river system,Q2887546
rhone basin,Q2887550
rhne basin,Q2887550
paraiba do sul basin,Q2887553
paraba do sul basin,Q2887553
aysen basin,Q63677626
nr. 113 in chilean cataster of basins,Q63677626
azapa basin,Q63756711
azapa river= san jose de azapa; san jose; ...,Q63756711
cunene basin,Q67320146
kunene basin,Q67320146
koutajoki basin,Q76084508
kovda basin,Q76084508
kovda river basin,Q76084508
