Name,ID
hovran,Q10526698
innaren,Q10535696
jrnlunden,Q10541827
karlbergssjn,Q10543775
kiholmen,Q10545307
knon,Q10546705
kymmen,Q10551385
lanan,Q10553728
laxsjn,Q10555298
lngsjn,Q10572658
langsjoen,Q10572661
lnern,Q10572844
mariebergsfjrden,Q10577295
mingen,Q10585760
mjlkvattnet,Q10586889
mjsjn,Q10586916
munksjn,Q10590318
muuruvesi,Q10590847
mycklaflon,Q10591031
mckeln,Q10593482
nimmern,Q10600938
nysockensjn,Q10604948
ravalen,Q10649976
rocksjn,Q10656300
rumpsjn,Q10657743
rusken,Q10657900
rsjn,Q10659142
salstern,Q10660717
skedviken,Q10669931
smgan,Q10672486
solgen,Q10673186
stora gla,Q10680992
strken,Q10682139
sven,Q10688255
svelngen,Q10688256
teen,Q10691807
teden,Q10691805
tiken,Q10697848
tisaren,Q10698662
tisken,Q10698671
ulvsundasjn,Q10709015
unnen,Q10709782
usken,Q10711199
lake usori,Q10711273
utgrycken,Q10711478
varpen,Q10713150
vendelsjn,Q10713944
vissjn,Q10716173
ymsen,Q10723587
yngen lake,Q10723589
yxningen,Q10723991
ngbybadet,Q10725840
erlngen,Q10726058
mnningen,Q10726520
jaren,Q10727189
rosica lake,Q10749629
lake thu le,Q10772027
tuyn lm lake,Q10772031
xuan huong lake,Q10772055
huascacocha,Q10857888
solonchak arys,Q10858746
babineck t,Q10859623
mishima lake,Q10865928
dungqag co,Q10869735
dongjiu,Q10870547
donggang lake,Q10870687
lake dongxicha,Q10870954
zhongzheng lake,Q10875749
nairi pingcuo,Q10877642
ulan ul hu,Q10877887
wulukekule,Q10878234
wudao paozi,Q10882227
yake cuo,Q10882552
xianhe hu,Q10884372
qi hu,Q10884801
kuilei hu,Q10888992
xianqie cuo,Q10889912
keqin hu,Q10891039
hurleg hu,Q10891054
gongzhu cuo,Q10892962
qixiang cuo,Q10894547
donggi cona,Q10895233
chongtian hu,Q10895502
jingyue lake,Q10895690
bieruo zecuo,Q10898453
beikou hu,Q10902572
beida chi,Q10902727
beimin hu,Q10903172
bei hulsan hu,Q10904107
beima yang,Q10904136
bandao hu,Q10905174
huiten nur,Q10906051
nantang hu,Q10907271
nanjian hu,Q10907482
nanshan hu,Q10907548
nanxing hu,Q10908112
woniu hu,Q10910167
guneijiao cuo,Q10913081
hoh xil hu,Q10913764
lago de truchillas,Q10916042
jilantai salt lake,Q10917023
hougang hu,Q10917932
tuwa co,Q10918023
xiangyang hu,Q10918226
hefu yang,Q10921398
har hu,Q10922088
chigu co,Q10922438
chiaming lake,Q10924029
tuzhong hu,Q10926279
aiyong cuo,Q10929206
chengxihu,Q10929973
tashen kule,Q10930687
xiamu dang,Q10931920
dorge co,Q10932582
dorsoidong co,Q10932586
duoqing cuo,Q10932601
dream lake,Q10933301
dalun lake,Q10935211
onuma (nanae; hokkaido),Q10936312
daweng quan,Q10936873
dazonghu,Q10937293
dapeng hu,Q10938658
tianchi,Q10939874
tianchihu,Q10939882
tianhua dang,Q10940667
taiping lake,Q10941449
kungkung caka,Q10944276
anmu cuo,Q10947016
ngagung tso,Q10947213
mostarsko lake,Q10950762
northern kornsj,Q10952225
bjonevatnet;,Q10952944
holmevatnet,Q10952989
bonsvatn,Q10953670
langvatnet,Q10953707
mosvatnet,Q10953788
bjrvatnet,Q10954560
jarenvatnet,Q10954662
kvilesteinsvatnet,Q10954683
hestadfjorden,Q10955194
lauavatnet,Q10955312
langen,Q10955477
foldsjen,Q10955580
vesletjern (lillomarka),Q10956231
grttavatnet,Q10956892
fosterlgen,Q10956997
sheyanghu,Q10957248
engelivatnet,Q10957258
xiaobei hu,Q10957911
store kjerringvatnet,Q10958191
sndre boksj,Q10958525
fiskelausvatnet,Q10958652
follsj,Q10958689
rossfjordvatnet,Q10958716
finnfjordvatnet,Q10958815
siljantjenn,Q10958943
langes,Q10959382
kjrull,Q10959448
xiaohaizi,Q10959514
kovvatnet,Q10959518
kilevann,Q10959574
gsos,Q10959622
flte,Q10959680
gjuvsjen,Q10959686
grunnostjrni,Q10959979
vindsjen,Q10960030
langen,Q10960069
gorningen,Q10960074
gjljavatnet,Q10960126
fjellsjen,Q10960131
langeidvatn,Q10960214
kallungsjen,Q10960219
storvatnet,Q10960309
storvatnet,Q10960361
flatsj,Q10960377
